voltage1 (V),voltage2 (V)
1.6809262977996156,1.4209183629871518
1.6845514084292124,1.425168492690817
1.6761761528366956,1.4260435193945127
1.6758011413922544,1.4284185918759726
1.6860514542069764,1.4400439466536454
1.6963017670216987,1.4465441450239571
1.7000518814661092,1.4442940763573107
1.693801690725425,1.4427940305795466
1.700926908169805,1.4391689199499496
1.7274277169103063,1.433043733024079
1.739803094576861,1.4286685995056
1.730677816095462,1.427168553727836
1.7525534836878567,1.420793359172338
1.7728041016876737,1.4219183935056612
1.7523034760582294,1.4332937406537065
1.7000518814661092,1.4360438245796074
1.679551255836665,1.4286685995056
1.6805512863551746,1.417168248542741
1.6941767021698662,1.410543046357616
1.703676992095706,1.4076679586169012
1.7153023468733786,1.410918057802057
1.7181774346140937,1.4185432905056918
1.7109272133548998,1.4239184545426802
1.705677053132725,1.427543565172277
1.706927091280862,1.4324187139500106
1.7026769615771966,1.4287936033204138
1.6983018280587177,1.4249184850611898
1.695426740318003,1.4284185918759726
1.698926847132786,1.438293893246254
1.7059270607623525,1.436668843653676
1.715552354503006,1.4260435193945127
1.716427381206702,1.4170432447279275
1.727052705465865,1.4137931455427717
1.7439282204657125,1.4151681875057223
1.7103021942808314,1.4162932218390454
1.665300820947905,1.403792840357677
1.6618007141331217,1.3821671803949096
1.6845514084292124,1.3730419019135105
1.7003018890957367,1.373291909543138
1.6898015686513872,1.3695417950987274
1.6789262367625966,1.3679167455061494
1.6810513016144293,1.370916837061678
1.6780512100589007,1.3725418866542558
1.6781762138737144,1.3664166997283853
1.6725510422070986,1.3560413830988496
1.6721760307626576,1.3480411389507738
1.6785512253181556,1.3457910702841274
1.6893015533921325,1.346791100802637
1.7136772972808008,1.3431659901730402
1.7225525681325726,1.3416659443952759
1.6800512710959197,1.3406659138767663
1.64105008087405,1.3396658833582569
1.6423001190221869,1.3401658986175116
1.6743010956144901,1.346666096987823
1.7045520187994019,1.3461660817285683
1.7156773583178198,1.3409159215063937
1.6871764885402998,1.3374158146916104
1.666425855281228,1.3287905514694662
1.6715510116885892,1.3196652729880674
1.6706759849848933,1.3231653798028504
1.6591756340220343,1.3256654560991241
1.6686759239478743,1.3257904599139378
1.7000518814661092,1.3241654103213598
1.7213025299844356,1.315040131839961
1.7065520798364209,1.316165166173284
1.667300881984924,1.3359157689138461
1.6773011871700187,1.336415784173101
1.6983018280587177,1.3186652424695577
